institution,institution_fullname,title,abstract,author,firstname_lastname,year,program,Category,prob_EEE
Guelph,University of Guelph,'Eeyou ᒦᒋᐃᐧᐣ Meechum is Everything' Finding ᒥᔪ ᐱᒫᑎᓯᐃᐧᐣ Miyo Pimâtisiwin ᒦᒋᐃᐧᐣ Meechum: The Good Life of Food in Eeyouch Ways of Knowing,"Indigenous Nations have been calling for action to assure that their National food systems are protected, and though these calls are clear, those same systems remain existentially tested. The historical, environmental, economical, and socio-cultural effects challenging these food systems are evidenced in Eeyou Istchee, a Cree Nation located in Northern Québec. These uninvited disruptions have altered the way the Eeyouch1 wish to eat and have resulted in a host of negative outcomes.The aim of this dissertation was to better understand and localize how a Cree framed food system conceptualizes protection, food security and provides for well-being in Eeyou Istchee. Specific objectives were to: 1) learn how Eeyou Cree communities define healthy foods; 2) understand the relationship between the Eeyou Cree food system and individual food security; 3) understand how experiences in the colonial construct shaped contemporary Eeyou ᒦᒋᐃᐧᐣ meechum miyo pimâtisiwin (The Good Life); and 4) develop a contextually grounded framework for an Eeyou Cree Food System as a basis to support future strategies.The methodological framework incorporated several different ways of knowing: Socio-Constructivism and Two-Eyed Seeing. This research used a case study approach, and adhered to Indigenous research protocols, as best as possible, given methods adaptation was required to safely conduct research under COVID-19. Information was gathered using rich interviews and then triangulated with a Gookamnouch Waasikamipinanutt Circle.What was understood was that Eeyou ᒦᒋᐃᐧᐣ meechum (Eeyou Cree food) is nested in miyo pimâtisiwin, and from this understanding eight main themes emerged. Eeyou ᒦᒋᐃᐧᐣ meechum lies in Eeyouch experience; is seen in socio-cultural health; includes Eeyou (Cree) and Wêmistikôsiw (non-Cree) defined healthy foods; is practiced communally and continuously; is sacred; protects Cree ways of knowing; incorporates gender and is culturally safe. Braided with current studies and frameworks, this research contributes a deeper conceptual understanding of the importance of Eeyou ᒦᒋᐃᐧᐣ meechum miyo pimâtisiwin in effecting change in Cree socio cultural health determinants and policies. Future research should look to build upon the work of scholars who view Indigenous food systems recognized in National food identities.","Penner, Stephen.",Stephen Penner,2023,PhD,other,0.27321306855927585
Guelph,University of Guelph,'It Comes Down to What They Value': Understanding How Energy is Integrated Into Rural Manitoba Land Use Plans.,"Canada is committed to achieving net-zero greenhouse gas emissions by 2050. This requires Canada's energy systems to transition from fossil fuels towards low emission sources. As this occurs, energy infrastructure will become a predominant land use, especially in rural areas. This poses a challenge for rural municipalities who need to adapt land use planning frameworks to renewable energy. Using a novel plan quality evaluation framework, 57 land use plans and 18 semi-structured interviews were used to assesses the state of energy planning and land use planning integration in rural Manitoba. Results highlight that integration of energy within official plans is poor. However, some communities are creating energy-inclusive plans. These changes are being driven by enthusiastic individuals, termed champions, who are advocates for local sustainability action. While improved funding and changes to provincial policy are needed to overcome capacity barriers, local leaders are critical for enabling rural energy planning.","Kvern, Michael.",Michael Kvern,2023,MSc,other,0.19593741638683926
Guelph,University of Guelph,'It's a future-me problem' - How future-self continuity and message framing affect climate change risk perceptions.,"Climate change is perceived to be a distant problem, both in terms of time and self-relevance. Psychologically, this may impede the depth with which individuals think about and process information related to climate change and, subsequently, their motivation to engage in some form of climate-action behaviour. The main objective of this project was to examine the use of future-self continuity as a behavioural intervention for the climate-action space, given its core components of self-relevance and time. The project proposed an information processing perspective that considered how future-self continuity could influence the way individuals process either negative or positive information related to climate change, and how this manifests in their perceptions of risk related to climate change. The project found inconclusive evidence for any significant main effects of future-self continuity and framing, but there was some evidence for the interaction effect between future-self continuity and non-loss message framing on risk perceptions. Additional relational effects are also explored. These findings hold relevance for climate communication specialists, climate psychologists, and academics looking to extend the reach of future-self continuity.","Arora, Sherlyn.",Sherlyn Arora,2023,MSc,other,0.2519376518249947
Guelph,University of Guelph,'Really? These names used to be big on the field?' The Transition from Individual Athlete Brand to Post-Retirement Business Brand.,"This thesis contributes to the literature on athlete branding, sports marketing, and consumer behaviours by proposing an integrated framework for studying athlete business brand extension. The primary data was collected using an online survey to gather insights from consumers of different fan identification levels regarding the prestige, distinctiveness, career knowledge, attitudes, and perceived fit toward brand extensions. The positive effect of athlete prestige on the perceived brand extension success is found to be most significant at the low tier. Unlike the conventional belief, athletes still active in the field are perceived to have lower brand extension success compared to those who are retired. Knowledge about the athletes can significantly moderate the relationship between athlete prestige and brand extension success. Findings from this research have significant implications for business organizations and marketing practitioners regarding effective and sustainable brand development and management involving athletes at various stages of their professional careers.","MacNeill, Matthew.",Matthew MacNeill,2024,MSc,other,0.362711325282
Guelph,University of Guelph,124Xe Angular Correlation Analysis and Development of the Detector Array for Energy Measurements Of Neutrons (DAEMON).,"This work details two distinct and separate projects. The first is the investigation of collective signatures of 124Xe via the beta-decay of 124Cs performed at the 8pi spectrometer at TRIUMF. A full analysis was performed resulting in gamma-ray branching ratios, beta-feeding intensities and B(E2) quadrupole transition strengths. Angular correlations were performed and the spins of 15 0+ states and 14 higher spin states were measured. The band structure built on the lower-energy excited 0+ states was expanded and compared to theoretical calculations.The second project contains the initial developmental tests for the Detector Array for Energy Measurements Of Neutrons (DAEMON). DAEMON is proposed to be a time-of-flight detector used with DESCANT at the GRIFFIN decay station at TRIUMF to measure neutron energies emitted via beta-delayed neutron emission from neutron-rich nuclei. Potential scintillator material, silicon photomultiplier (SiPM) scintillation light collection methods and data acquisition systems were tested. The timing resolution achieved by a scintillator-SiPM setup was found to be as low as 339(4) ps FWHM, which is well within the limits required to achieve the desired energy resolution.","Radich, Allison Jane.",Allison Radich,2022,PhD,other,0.2709677370901509
Guelph,University of Guelph,17-beta Estradiol in Medial Prefrontal Cortex: Rapid facilitation of Social Behaviours and the Mediating Estrogen Receptors.,"This thesis examined the rapid effects of estrogen in the medial prefrontal cortex (mPFC) on different forms of cognition, the mediating estrogen receptor(s) and possible mechanisms behind the behavioural effects. We found that ovariectomized female mice showed rapid facilitation of short-term memory in social cognition tasks, social recognition and social transmission of food preferences, but not non-social cognition tasks, object recognition or object placement. This rapid facilitation of short-term memory in social recognition task was mediated by all three known estrogen receptors, estrogen receptor alpha, estrogen receptor beta, and G protein-coupled estrogen receptor 1. However, this rapid facilitation of social cognition was likely not a result of estrogen-induced rapid local release of oxytocin in the mPFC, suggesting that other mechanisms are involved. Altogether, findings of this thesis deepened our understanding of estrogens' rapid behavioural effects in the mPFC and expanded our knowledge of rapid estrogenic regulation of the 'social brain'.","Peng, Siyao.",Siyao Peng,2023,MSc,EEE,0.5661747751193605
Guelph,University of Guelph,"3D Printed Wearable Devices for Out-Of-Lab Joint Performance Assessment: Design, Validation and Applications.","This thesis examines the development, validation, and application of a low-cost, reconfigurable wearable sensor system for biomechanical monitoring. The system consists of a 2 degree of freedom angular sensor combined with two 6 degree of freedom inertial measurement units. The system can be reconfigured using 3D printing to develop custom wearable devices for joint specific sensing applications. Here the design is presented and evaluated for validity of angular measures for the knee and wrist. The ultimate purpose of the work is to develop tools and techniques which facilitate longitudinal studies of biomechanical indicators that can be applied in tracking progression and recovery from disease and injury, or to quantify workplace injury risk. To this end, the system was applied first in the knee joint with accompanying gait analysis, and then to the wrist during the performance of a series of occupational tasks. Data produced by the inertial measurement units were then used to train a deep convolutional autoencoder to predict wrist postures which could then be used in existing frameworks for assessment of musculoskeletal injury risk. The data were also clustered and assessed using a novel framework which generates video representations of what participants were doing when the clustered data were produced, allowing a deeper biomechanical understanding of model performance without the explicit need to label the data. This combination of wearable sensing with an unsupervised machine learning pipeline demonstrate a powerful tool for longitudinal studies of human biomechanics in out-of-lab environments.","Young, Calvin.",Calvin Young,2022,PhD,other,0.22437250326337066
Guelph,University of Guelph,A Bioassay for Asparagus (Asparagus officinalis L.) Resistance to Stemphylium vesicarium.,"Purple spot, caused by Stemphylium vesicarium (Wallr.) E. Simmons, is one of the most important diseases facing asparagus producers in Ontario. Four cultivars, Jersey Giant, Guelph Millennium, Guelph Eclipse, and Gijnlim were examined in the field and in detached-spear controlled environment assays for reaction to S. vesicarium infection. Consistent results were achieved in the controlled environment assays and cultivar, location on the spear, isolate, wounding, and lighting were each found to affect lesion formation. In the field, an interaction was identified between cultivar resistance and acute weather, especially heavy rainfall, before and during a critical infection period. In controlled environment studies there was an interaction between cultivar and location of inoculation on the spear, whether near the top or base. The bioassay was useful for assessing some mechanisms of resistance, but inoculating attached spears in the field, while accounting for weather, is recommended for determining realistic field results.","Austin, George.",George Austin,2022,MSc,EEE,0.5458254060556126
Guelph,University of Guelph,A Blockchain-based Fog-IoT Platform for Improving Wearable IoT Applications in Healthcare.,"Health-based conditions are growing exponentially, and healthcare resources are getting limited. In response, the health industry must adapt. Wearable IoT devices introduce a convenient way to collect patient data wirelessly and deploy services remotely. Wearables are portable technologies worn for monitoring patient data. However, although it can improve healthcare services, it can also introduce many challenges. The issues addressed by this thesis are patient privacy, data flow, server interactability, device standardization, and scalability.This thesis proposes a platform design to address these challenges. It incorporates a Fog-based IoT network architecture for managing the data within the healthcare network, providing an organized means of improving data flow and scalability. The platform adds wireless architectures such as WBANs and REST APIs to address server interactability and device standardization issues. Next, it incorporates blockchain technology to manage security. Also, the platform adds techniques such as Smart contracts and Federated learning to reinforce privacy.The thesis presents implementations of these technologies and strategies and their ability to address these challenges. These implementations are from past research that became academic articles either published or under review. Presenting these works also includes the testbeds and analyses used to evaluate the feasibility of their highlighted approach or technology incorporated into the platform. The testbeds evaluated the Fog-IoT architecture and showed its feasibility in improving the data flow and scalability of the healthcare network. Also, the testbeds that specifically implemented the supporting architectures of WBANs and RESTAPIs showed their ability to reinforce data and device manageability within the Fog-IoT network by showing improvements to the platform through experiments measuring latency and throughput. Next, the testbeds that evaluated the private blockchain showed its advantages over its public variants by yielding results proving its efficiency in processing time.Furthermore, Smart contracts contributed to reducing the server response time through automation. Also, Federated learning proved its ability to ensure service integrity and preserve privacy by keeping the health-based predictive learning service accurate while adding privacy-preserving functionality. Overall, each solution and approach combines into a proposed blockchain-based Fog-IoT platform that shows overwhelming promise in improving wearable IoT in healthcare.","Baucas, Marc Jayson.",Marc Baucas,2023,PhD,other,0.10515374622727813
Guelph,University of Guelph,A Case Study on the Replicability of the RHPMAN Data Storage Scheme.,"Mobile ad hoc Networks (MANETs) show promise to reduce the impact of insufficient network infrastructure on remote communities. Data replication and storage schemes are critical components for bridging the gap between academic ideas and feasible real world applications. However, repeatability of research experiments within the academic field of MANET research must be demonstrated in order to evaluate and develop new potential solutions to the data storage problem and the digital divide. The Replication in Highly Partitioned Mobile ad hoc Networks (RHPMAN) data storage scheme has several appealing characteristics such as partition awareness and a built-in mechanism to disseminate data to disjoined network partitions. In this thesis we create an open source implementation of the storage scheme and unsuccessfully replicate the initial experiment, which illustrates a greater problem in MANET research. This was supported through the development of a suite of tools and a framework for conduction MANET experiments.","Asch, Marshall.",Marshall Asch,2022,MSc,other,0.21647549265677157
